Name,Section,Title,Subject,Topic,OpenSeats,Credits
"Data,Fncns,Graphs",001,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",002,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",002,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",004,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   6",4.00
"Data,Fncns,Graphs",005,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",005,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",011,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   2",4.00
"Data,Fncns,Graphs",014,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   4",4.00
"Data,Fncns,Graphs",015,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   2",4.00
"Data,Fncns,Graphs",015,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   2",4.00
"Data,Fncns,Graphs",021,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   1",4.00
"Data,Fncns,Graphs",022,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   3",4.00
"Data,Fncns,Graphs",022,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   3",4.00
"Data,Fncns,Graphs",024,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   6",4.00
"Data,Fncns,Graphs",025,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   4",4.00
"Data,Fncns,Graphs",025,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   4",4.00
"Data,Fncns,Graphs",031,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   3",4.00
"Data,Fncns,Graphs",032,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   2",4.00
"Data,Fncns,Graphs",032,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   2",4.00
"Data,Fncns,Graphs",034,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",035,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   4",4.00
"Data,Fncns,Graphs",035,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   4",4.00
"Data,Fncns,Graphs",041,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",042,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   1",4.00
"Data,Fncns,Graphs",042,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   1",4.00
"Data,Fncns,Graphs",045,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   6",4.00
"Data,Fncns,Graphs",045,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   6",4.00
"Data,Fncns,Graphs",052,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",052,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",055,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",055,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"   5",4.00
"Data,Fncns,Graphs",170,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  15",4.00
"Data,Fncns,Graphs",171,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  15",4.00
"Data,Fncns,Graphs",172,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  10",4.00
"Data,Fncns,Graphs",173,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",173,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",174,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",174,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",175,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",176,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  15",4.00
"Data,Fncns,Graphs",177,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
"Data,Fncns,Graphs",179,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  13",4.00
"Data,Fncns,Graphs",180,"Data,Fncns,Graphs",Mathematics (MATH) Open Sections,,"  16",4.00
Calculus I,002,Calculus I,Mathematics (MATH) Open Sections,,"  15",4.00
Calculus I,002,Calculus I,Mathematics (MATH) Open Sections,,"  15",4.00
Calculus I,004,Calculus I,Mathematics (MATH) Open Sections,,"   5",4.00
